[meta] uuid,[meta] weight,[dem] country_code,[dem] age,[dem] gender,[dem] education_level,[dem] degree_of_urbanisation,[dem] residency,[dem] household_size,[dem] immigration,[dem] origin,[dem] settlement_size,[dem] hometown,[dem] ethnic_background,[dem] religion,[dem] employment_status,[dem] employment_status_in_education,[dem] work_type_routine,[dem] work_type_manual,[dem] lgbtq,[dem] income_net_monthly,[dem] disposable_income,[dem] household_finances_past12months,[dem] financial_security,[dem] change_household_finances_next12months,[dem] job_security,[dem] status_national_economy,[dem] change_economy_country_past12months,[dem] economy_country_next12months,[aud] social_networks_regularly_used,[aud] social_media_activity_rank,[aud] online_sharing_frequency,[aud] sharing_network_size,[aud] member_organization,[aud] organization_activities_timeperweek,[aud] media_tv_hours,[aud] media_radio_hours,[aud] media_print_hours,[question] opinion_eu,[question] opinion_government,[question] political_view,[question] likelihood_to_demonstrate,[question] vote_referendum,[question] frequency_of_voting,[question] vote_next_national_election,[question] ranking_party_de,[question] voted_party_last_election_de,[question] ranking_party_fr,[question] voted_party_last_election_fr,[question] ranking_party_es,[question] voted_party_last_election_es,[question] ranking_party_pl,[question] voted_party_last_election_pl,[question] ranking_party_it,[question] voted_party_last_election_it,[question] ranking_party_gb,[question] voted_party_last_election_gb,[question] when_vote_decision_was_made,[question] vote_nextelection_de,[question] vote_nextelection_fr,[question] vote_nextelection_es,[question] vote_nextelection_pl,[question] vote_nextelection_it,[question] vote_nextelection_gb,[question] certainty_party_to_vote,[question] friends_family_same_vote,[question] important_issues_when_voting,[question] ranking_importance_of_issues_when_voting,[question] preferred_type_of_political_leader,[question] frequent_sharing_of_politicalviews,[question] independence_or_respect,[question] obedience_or_selfreliance,[question] consideration_or_good_behaviour,[question] curiosity_or_good_manners,[question] democracy_own_country_satisfaction,[question] next_generation_opportunities,[question] currentplace_change_past5years,[question] hometown_change_past5years,[question] country_direction_past5years,[question] financial_situation_change_past5years,[question] international_trade_gain_or_loss,[question] country_comes_first,[question] improving_life_by_hardwork,[question] conspiracy,[question] government_controlled_by_elite,[question] trust_in_own_judgment,[question] perceived_effect_of_diversity,[question] gender_discrimination_importance,[question] family_friends_highereducation,[question] worldview
a6c8ecb0-9d5c-0134-8521-0aaafcbd6b1f,1.291042737,IE,36,1,3,1,1,4,2,5,6,1,4,1,2,,1,1,2,5,3,4,4,3,4,4,4,4,,,,,,,,,,2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,4,5,5,2,4,3,2,1,4,2,2,4,1,3,1
dc473d10-9d5c-0134-e223-0a62e1402143,1.291042737,IE,37,1,3,1,1,4,3,13,4,2,1,7,1,,3,1,2,3,3,3,2,2,2,2,2,2,,,,,,,,,,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,4,2,2,,2,3,3,1,2,5,2,3,4,3,3,2
f2f9ac70-9d5c-0134-f00a-0a62e1402143,0.964242866,IE,21,1,5,2,1,5,4,,2,1,1,1,2,,2,2,2,13,6,6,2,2,2,2,1,2,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,2,3,3,2,2,2,1,4,5,3,3,2,7,2
3dc43100-9d5d-0134-883d-0aaafcbd6b1f,0.6929339919,IE,39,2,2,2,1,5,5,,3,1,1,8,3,,1,2,2,6,2,2,3,2,3,2,2,1,,,,,,,,,,3,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,3,2,3,3,3,2,4,2,1,2,2,2,1,1,5,2
41886f20-9d5e-0134-9915-0a62e1402143,0.7918470197,IE,28,1,4,1,1,2,4,,6,1,1,1,1,,3,4,2,7,4,2,1,2,2,1,2,2,,,,,,,,,,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,2,2,2,4,2,2,2,1,4,5,2,3,2,2,2
60e0a4c0-9d5e-0134-a277-0aaafcbd6b1f,0.6564073915,IE,21,2,2,1,1,5,1,1,5,1,1 | 4,7,3,,2,2,2,3,2,4,3,2,3,2,3,3,,,,,,,,,,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,2,3,3,4,4,3,3,1,3,2,3,2,2,2,2
dbfd9820-9d5e-0134-74b8-0aaafcbd6b1f,0.7818328195,IE,46,1,2,2,1,4,4,,1,1,1,8,6,3,5,5,2,13,6,3,1,3,1,2,6,6,,,,,,,,,,1,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,2,3,2,4,2,3,5,2,3,3,3,1,1,4,2
a9e713e0-9d67-0134-a03d-0a62e1402143,1.361809433,IE,22,1,3,2,1,5,4,,1,1,1,8,1,,2,2,2,13,6,3,5,6,1,6,6,6,,,,,,,,,,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,4,3,3,6,5,3,3,5,5,5,5,5,5,4,7,2
e68a2c50-9d67-0134-d156-0aaafcbd6b1f,0.7679270153,IE,16,1,2,2,1,4,5,,1,2,1,2,6,2,2,2,2,6,3,3,2,3,1,3,3,2,,,,,,,,,,2,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,,4,2,1,3,1,3,2,1,1,1,3,1
15306730-9d6d-0134-e4cd-0a62e1402143,2.236132881,IE,45,2,3,1,1,5,4,,5,2,1,1,2,,1,1,2,13,4,2,2,3,2,3,4,4,,,,,,,,,,2,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,1,3,,2,2,1,2,1,1,1,1,2,1,4,1
49e940e0-9d6d-0134-8ea8-0aaafcbd6b1f,0.7536833582,IE,36,2,4,2,1,4,5,,3,2,1,1,1,,4,3,2,7,4,6,1,3,1,2,2,2,,,,,,,,,,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,3,3,3,,3,3,3,3,1,3,1,2,3,1,3,2
57cec0a0-9d6d-0134-e5f4-0a62e1402143,0.7280215363,IE,26,1,2,1,3,,1,13,5,2,4,8,3,,1,1,2,13,2,6,5,6,5,6,6,6,,,,,,,,,,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,1,6,,3,4,2,3,4,4,2,4,3,2,7,2
28156880-9d70-0134-9e02-0aaafcbd6b1f,0.6564073915,IE,18,2,2,1,1,5,4,,2,1,6,1,3,,2,2,2,2,1,3,3,3,4,5,3,2,,,,,,,,,,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,4,3,3,3,3,1,3,2,2,2,2,3,3,5,2
36d53a70-9d71-0134-0100-0aaafcbd6b1f,0.8831329986,IE,27,2,2,1,1,2,5,,4,2,1,1,3,,2,2,2,3,2,4,3,3,5,4,3,3,,,,,,,,,,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,3,2,,2,3,1,1,2,1,1,2,4,1,6,1
579ea250-9d76-0134-c180-0a62e1402143,1.566110873,IE,35,2,3,1,1,4,4,,3,1,1,1,4,,1,1,2,3,1,3,2,1,3,3,4,4,,,,,,,,,,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,4,4,4,2,3,1,1,1,2,2,1,3,1,3,2
8a30b9f0-9d77-0134-c59c-0a62e1402143,0.9605570688,IE,31,2,4,1,1,2,5,,6,1,1,8,1,,3,2,3,13,6,2,2,2,2,2,1,2,,,,,,,,,,1,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,4,1,1,2,1,1,3,1,5,2,5,1,1,1,2
6ea32260-9d78-0134-5af1-0aaafcbd6b1f,0.7280215363,IE,35,1,2,1,1,3,1,2,3,2,1,1,3,,1,1,3,1,2,3,3,6,5,1,1,3,,,,,,,,,,1,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,2,5,,5,4,1,4,1,5,2,1,3,2,2,2
4f883cc0-9da8-0134-bc1b-0a62e1402143,0.9141357951,IE,26,1,5,1,1,3,5,,6,1,1,1,9,,3,1,2,4,2,2,4,1,3,5,5,5,,,,,,,,,,3,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,1,1,1,2,2,1,1,3,1,2,5,3,4,2
f5de1f70-9dcb-0134-80cb-0a62e1402143,0.6213081351,IE,38,1,4,2,1,3,5,,1,1,1,1,1,,3,2,3,3,2,2,3,2,2,3,2,3,,,,,,,,,,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,5,4,5,2,2,2,3,3,1,2,2,3,2,5,1
bcc79500-9dcf-0134-3d39-0a62e1402143,0.9605570688,IE,28,2,4,1,1,5,4,,5,2,1,8,1,,3,2,2,1,5,2,2,2,2,3,2,2,,,,,,,,,,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,1,1,,4,2,1,4,2,4,3,5,2,1,2,2
131f1c40-9dd1-0134-e932-0a62e1402143,0.9133465831,IE,18,2,3,2,1,4,4,,3,1,1,1,6,3,5,5,2,8,4,2,2,2,5,4,3,4,,,,,,,,,,1,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,3,2,3,3,2,1,2,2,4,1,4,1,1,1,2
6a52c360-9dd4-0134-3ec5-0aaafcbd6b1f,1.228819963,IE,34,2,3,2,1,1,5,,2,2,1,1,7,,2,3,2,2,2,3,3,4,5,4,4,2,,,,,,,,,,3,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,3,2,3,,1,4,4,1,3,1,1,2,3,3,3,1
43cd7980-9dd8-0134-4e71-0a62e1402143,1.291042737,IE,37,1,3,1,1,3,5,,4,1,1,1,1,,1,1,2,4,3,3,2,2,2,2,2,2,,,,,,,,,,2,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,4,4,4,4,1,3,2,4,5,1,1,2,4,2,3,1
1ff0e5a0-9de5-0134-3cbf-0a62e1402143,0.8503759259,IE,44,1,4,2,1,2,5,,1,2,1,1,1,,2,3,3,5,2,4,3,2,2,4,3,4,,,,,,,,,,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,3,4,3,,1,4,3,3,2,3,2,3,2,2,2,2
cc38d710-9de5-0134-713d-0a62e1402143,0.7918470197,IE,38,1,4,1,1,4,4,,5,1,1,8,1,,2,3,2,8,3,3,2,2,1,2,2,6,,,,,,,,,,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,4,5,2,4,4,2,1,2,1,2,2,4,1,1,3,2
145ea140-9ded-0134-6d0e-0a62e1402143,0.9605570688,IE,26,2,4,1,1,3,4,,4,1,1,8,1,,2,2,2,6,2,3,3,4,3,3,4,4,,,,,,,,,,2,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,2,4,2,4,3,1,3,3,2,1,1,5,2,2,1
a5849ec0-9ded-0134-5447-0aaafcbd6b1f,0.5150379329,IE,18,2,2,2,1,4,5,,1,2,1,8,3,,5,5,2,2,1,3,2,3,5,3,3,3,,,,,,,,,,1,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,3,3,,3,3,3,3,3,3,3,3,3,2,3,2
cb7b9cc0-9dee-0134-df6d-0aaafcbd6b1f,0.5150379329,IE,15,2,2,2,1,3,4,,4,2,1,1,6,3,5,4,2,1,4,1,2,3,5,5,4,5,,,,,,,,,,1,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,4,4,,1,4,2,2,1,1,1,1,5,4,5,1
56813cd0-9df2-0134-d84f-0aaafcbd6b1f,0.7918470197,IE,33,1,4,1,1,3,2,1,6,1,1,1,1,,2,2,2,8,3,4,2,3,2,4,2,3,,,,,,,,,,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,2,3,2,3,4,2,3,4,3,2,2,2,2,3,2
8e191c30-9df8-0134-284a-0aaafcbd6b1f,0.6929339919,IE,29,2,2,2,1,3,4,,3,1,1,1,1,,1,1,2,13,4,1,2,2,1,3,2,2,,,,,,,,,,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,4,3,2,3,2,2,2,4,2,2,3,3,2,2,2,2
8b91e5e0-9dfe-0134-5e44-0aaafcbd6b1f,0.9605570688,IE,29,2,4,1,1,4,4,,4,2,1,1,1,,2,3,1,8,3,1,1,2,3,3,4,2,,,,,,,,,,2,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,4,5,,1,1,5,5,2,4,2,2,4,1,2,2
006598d0-9e05-0134-0037-0aaafcbd6b1f,0.9787103759,IE,25,1,2,1,1,5,2,1,3,1,1,3,6,3,5,5,2,13,3,3,2,2,5,2,3,2,,,,,,,,,,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,1,2,2,5,2,2,3,1,4,3,3,1,1,6,2
582650d0-9e08-0134-13f6-0a62e1402143,0.5712286486,IE,31,1,2,2,1,3,4,,2,1,1,1,4,,1,1,2,3,3,4,3,3,4,6,6,6,,,,,,,,,,3,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,3,2,3,4,3,4,2,2,3,3,2,3,3,3,4,2
c3ac2af0-9e08-0134-7955-0aaafcbd6b1f,1.566110873,IE,26,2,3,1,1,2,4,,4,1,6,1,2,,1,2,1,2,1,1,2,1,2,2,2,2,,,,,,,,,,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,4,2,2,3,2,2,3,1,2,3,3,1,4,3,2
b8b5c150-9e09-0134-10a4-0a62e1402143,1.012992832,IE,39,1,3,2,1,4,1,1,1,2,1,8,1,,4,1,2,9,6,2,2,3,1,3,2,3,,,,,,,,,,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,3,3,3,,3,2,1,3,2,1,1,3,2,2,3,2
c345a630-9e0a-0134-64ab-0aaafcbd6b1f,0.6564073915,IE,18,2,2,1,1,3,4,,4,1,1,8,6,3,5,5,1,4,2,2,1,3,5,4,4,6,,,,,,,,,,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,2,2,3,3,2,1,1,4,1,2,3,1,4,1
9f1140b0-9e0e-0134-5154-0aaafcbd6b1f,0.9605570688,IE,30,2,4,1,1,2,4,,5,2,1,4,1,,2,4,2,7,2,2,2,1,1,2,2,3,,,,,,,,,,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,3,2,,3,1,3,3,2,3,1,4,2,2,1,2
30710510-9e10-0134-107b-0a62e1402143,0.9787103759,IE,16,1,2,1,1,4,2,4,2,1,5,1,6,3,5,5,2,5,3,1,3,2,5,2,2,2,,,,,,,,,,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,2,2,5,4,1,5,4,3,3,4,1,2,5,2
5b90ae00-9e12-0134-a11c-0a62e1402143,0.964242866,IE,14,1,5,2,1,4,4,,6,1,1,1,6,3,3,3,2,13,6,6,1,6,5,2,2,6,,,,,,,,,,1,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,5,1,1,3,2,1,1,3,3,2,1,6,2
09735670-9e14-0134-cd1f-0aaafcbd6b1f,1.767032493,IE,56,1,3,1,1,3,5,,5,2,1,1,1,,3,1,2,6,3,3,2,3,3,4,4,2,,,,,,,,,,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,4,4,,1,4,1,1,1,2,1,1,4,3,5,1
d5f69320-9e16-0134-3181-0a62e1402143,0.7818328195,IE,44,1,2,2,1,3,4,,3,2,1,1,9,,1,2,2,7,3,3,1,3,1,2,2,2,,,,,,,,,,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,4,4,,4,2,1,2,1,4,1,1,2,1,3,1
51858aa0-9e1a-0134-5c73-0a62e1402143,0.713954479,IE,25,2,4,1,1,2,5,,1,1,1,1,2,,1,1,2,2,2,3,2,3,2,3,2,1,,,,,,,,,,1,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,2,2,4,3,1,4,1,3,3,5,1,1,2,2
a62cdaa0-9e1a-0134-7440-0a62e1402143,0.7536833582,IE,32,2,4,2,1,3,4,,4,1,1,1,2,,1,3,3,4,3,3,2,3,2,1,2,2,,,,,,,,,,1,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,1,2,2,2,4,3,2,3,1,3,1,2,1,1,2,2
6f57b390-9e1f-0134-caad-0aaafcbd6b1f,1.164045228,IE,21,2,3,1,1,5,5,,4,1,1,1,6,3,5,5,3,11,2,3,2,3,5,4,3,6,,,,,,,,,,2,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,6,6,2,3,3,3,2,4,2,2,2,1,4,2
d9ccc000-9e20-0134-d7fb-0aaafcbd6b1f,0.6564073915,IE,19,2,2,1,1,4,2,13,5,2,1,8,6,3,5,5,2,13,6,6,5,6,5,6,6,6,,,,,,,,,,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,4,4,,2,2,1,3,2,4,4,4,4,2,2,2
232f2790-9e27-0134-3bd0-0a62e1402143,1.083790159,IE,40,1,4,1,1,4,1,1,1,2,1,1,6,1,3,2,2,13,6,3,2,3,1,2,1,1,,,,,,,,,,3,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,3,,4,3,1,2,2,2,2,3,5,1,2,1
365896b0-9e2b-0134-4a60-0aaafcbd6b1f,0.7280215363,IE,26,1,2,1,2,4,1,2,4,2,4,7,6,2,5,5,2,1,2,2,1,1,5,2,2,1,,,,,,,,,,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,1,6,,2,3,3,3,3,3,2,1,5,4,4,1
3d61a4a0-9e2b-0134-4a82-0aaafcbd6b1f,0.7918470197,IE,34,1,4,1,1,1,4,,6,1,1,8,6,2,3,2,2,4,3,3,3,2,2,3,3,2,,,,,,,,,,2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,4,4,2,2,4,2,4,4,2,1,2,1,1,4,2
18c172c0-9e2f-0134-773c-0a62e1402143,1.083790159,IE,42,1,4,1,2,4,1,1,6,2,1,8,1,,4,4,2,13,3,2,2,2,2,2,2,3,,,,,,,,,,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,2,1,,4,2,1,4,4,5,3,5,1,2,1,2
b5af82b0-9e43-0134-0b66-0a62e1402143,0.8503759259,IE,45,1,4,2,1,3,4,,3,1,1,1,1,,2,1,2,13,4,2,2,6,2,3,3,6,,,,,,,,,,2,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,4,2,2,2,1,3,2,5,2,2,1,2,1,1,3,2
58050cc0-9e45-0134-12c8-0a62e1402143,1.083790159,IE,44,1,4,1,1,5,5,,3,1,1,1,1,,2,2,2,7,2,1,2,1,2,1,1,1,,,,,,,,,,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,3,3,1,4,1,1,1,2,5,4,1,4,1,2,2
ac97dbd0-9e8a-0134-aef4-0a62e1402143,0.8503759259,IE,44,1,4,2,1,1,1,4,3,2,5,4,3,,2,2,2,3,3,2,3,3,3,2,3,2,,,,,,,,,,2,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,,3,2,2,2,2,3,3,4,2,3,4,2
c46635d0-9e8e-0134-10df-0aaafcbd6b1f,0.9817036041,IE,46,1,5,2,1,5,4,,1,2,1,1,10,,4,3,3,7,5,2,1,2,5,2,2,2,,,,,,,,,,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,2,1,2,,4,2,1,1,1,5,5,2,2,2,1,2
d17fc350-9e9b-0134-f3bc-0aaafcbd6b1f,1.076128241,IE,63,2,4,2,1,2,4,,1,2,1,1,2,,3,3,2,6,3,3,2,3,1,3,2,6,,,,,,,,,,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,3,2,3,,3,2,1,2,3,3,2,4,2,1,2,2
aa38e6e0-9e9d-0134-655e-0aaafcbd6b1f,1.37150778,IE,40,2,4,1,1,5,1,10,4,2,3,3,10,,1,3,2,7,2,3,2,2,5,3,3,6,,,,,,,,,,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,3,1,1,,4,3,2,1,5,3,5,4,4,1,2,2
e375a320-9e9d-0134-c4f9-0a62e1402143,0.8503759259,IE,40,1,4,2,1,4,4,,1,2,1,8,1,,4,1,2,7,2,3,3,2,2,3,3,3,,,,,,,,,,3,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,4,2,4,,3,4,2,3,2,2,1,2,2,2,5,1
7ca5cc70-9ea2-0134-aa32-0a62e1402143,1.083790159,IE,40,1,4,1,1,4,1,1,2,2,1,1,1,,3,2,2,13,6,3,2,3,1,2,2,2,,,,,,,,,,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,2,,2,3,1,1,2,2,2,1,5,1,2,1
0ab4dfe0-9eb0-0134-de6a-0aaafcbd6b1f,0.9964330951,IE,48,1,2,1,1,2,5,,3,2,1,1,1,,1,1,2,2,4,2,2,3,2,3,2,2,,,,,,,,,,3,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,3,4,3,,2,4,2,2,1,2,1,2,3,1,5,2
