question_id_mapped,question_wording,question_kind,code,value
[aud] media_print_hours,On average how much time do you spend reading printed newspapers or magazines per day?,multiple_sole,4,1 - 2 hours
[aud] media_print_hours,On average how much time do you spend reading printed newspapers or magazines per day?,multiple_sole,5,2 - 3 hours
[aud] media_print_hours,On average how much time do you spend reading printed newspapers or magazines per day?,multiple_sole,6,More than 3 hours
[dem] residency,Do you live in the country you're currently in?,multiple_sole,1,"Yes, as a citizen"
[dem] residency,Do you live in the country you're currently in?,multiple_sole,2,"Yes, but not as a citizen"
[dem] residency,Do you live in the country you're currently in?,multiple_sole,3,"No, I’m a temporary visitor"
[dem] residency,Do you live in the country you're currently in?,multiple_sole,4,Other
[dem] household_size,"How many people are in the household where you currently live, including yourself?",multiple_sole,1,1
[dem] household_size,"How many people are in the household where you currently live, including yourself?",multiple_sole,2,2
[dem] household_size,"How many people are in the household where you currently live, including yourself?",multiple_sole,3,3
[dem] household_size,"How many people are in the household where you currently live, including yourself?",multiple_sole,4,4
[dem] household_size,"How many people are in the household where you currently live, including yourself?",multiple_sole,5,5 or more
[dem] immigration,How did you or your family get to the United Kingdom?,multiple_sole,1,I moved here
[dem] immigration,How did you or your family get to the United Kingdom?,multiple_sole,2,One or both of my parents moved here before I was born
[dem] immigration,How did you or your family get to the United Kingdom?,multiple_sole,3,My grandparents moved here
[dem] immigration,How did you or your family get to the United Kingdom?,multiple_sole,4,My family has been here for a longer time
[dem] immigration,How did you or your family get to the United Kingdom?,multiple_sole,5,None of the above
[dem] origin,Where did you or your family come from?,multiple,1,"Western, Southern or Northern Europe"
[dem] origin,Where did you or your family come from?,multiple,2,Eastern Europe (includes Russia)
[dem] origin,Where did you or your family come from?,multiple,3,Middle East (includes Turkey) and North Africa
[dem] origin,Where did you or your family come from?,multiple,4,Sub-Saharan Africa
[dem] origin,Where did you or your family come from?,multiple,5,North America
[dem] origin,Where did you or your family come from?,multiple,6,Central America (includes the Caribbean)
[dem] origin,Where did you or your family come from?,multiple,7,South America
[dem] origin,Where did you or your family come from?,multiple,8,Central Asia (includes the Caucasus)
[dem] origin,Where did you or your family come from?,multiple,9,East Asia (includes China)
[dem] origin,Where did you or your family come from?,multiple,10,South Asia (includes India)
[dem] origin,Where did you or your family come from?,multiple,11,South-East Asia
[dem] origin,Where did you or your family come from?,multiple,12,Oceania / Pacific Islands
[dem] origin,Where did you or your family come from?,multiple,13,Other
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,1,Countryside
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,2,Town with fewer than 1 000 people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,3,Town with 1 000 - 50 000 people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,4,City with 50 000 - 250 000 people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,5,City with 250 000 - 1 million people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,6,City with 1 million - 5 million people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,7,City with 5 million - 10 million people
[dem] settlement_size,Which best describes the place where you currently live?,multiple_sole,8,City with more than 10 million people
[dem] hometown,Did you grow up in the place where you currently live?,multiple_sole,1,Yes
[dem] hometown,Did you grow up in the place where you currently live?,multiple_sole,2,No
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,1,"Employed, working 30 or more hours per week"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,2,"Employed, working 1 to ­29 hours per week"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,3,"Not employed, currently looking for work"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,4,"Not employed, currently NOT looking for work"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,5,Retired
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,6,"In school, university or practical training"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,7,"Disabled, not able to work"
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,8,Entrepreneur / Employer
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,9,Self­-employed / Freelancer
[dem] employment_status,Which of the following categories best describes your employment status?,multiple_sole,10,None of the above
[dem] employment_status_in_education,"While in school, university or practical training, are you...?",multiple_sole,1,...employed
[dem] employment_status_in_education,"While in school, university or practical training, are you...?",multiple_sole,2,"...not employed, currently looking for work"
[dem] employment_status_in_education,"While in school, university or practical training, are you...?",multiple_sole,3,"...not employed, currently NOT looking for work"
[dem] work_type_routine,"How routine are the tasks you perform at work? If you do not work currently, think about your last job.",multiple_sole,1,Very routine
[dem] work_type_routine,"How routine are the tasks you perform at work? If you do not work currently, think about your last job.",multiple_sole,2,Somewhat routine
[dem] work_type_routine,"How routine are the tasks you perform at work? If you do not work currently, think about your last job.",multiple_sole,3,Not very routine
[dem] work_type_routine,"How routine are the tasks you perform at work? If you do not work currently, think about your last job.",multiple_sole,4,Not at all routine
[dem] work_type_routine,"How routine are the tasks you perform at work? If you do not work currently, think about your last job.",multiple_sole,5,I’ve never worked
[dem] work_type_manual,"Do the tasks you perform at work involve manual / physical activity? If you do not work currently, think about your last job.",multiple_sole,1,"Yes, a lot"
[dem] work_type_manual,"Do the tasks you perform at work involve manual / physical activity? If you do not work currently, think about your last job.",multiple_sole,2,"Yes, some"
[dem] work_type_manual,"Do the tasks you perform at work involve manual / physical activity? If you do not work currently, think about your last job.",multiple_sole,3,"No, not much"
[dem] work_type_manual,"Do the tasks you perform at work involve manual / physical activity? If you do not work currently, think about your last job.",multiple_sole,4,"No, none at all"
[dem] work_type_manual,"Do the tasks you perform at work involve manual / physical activity? If you do not work currently, think about your last job.",multiple_sole,5,I’ve never worked
[dem] lgbtq,"Do you identify as lesbian, gay, bisexual, transgender, or queer?",multiple_sole,1,Yes
[dem] lgbtq,"Do you identify as lesbian, gay, bisexual, transgender, or queer?",multiple_sole,2,No
[dem] lgbtq,"Do you identify as lesbian, gay, bisexual, transgender, or queer?",multiple_sole,3,Prefer not to say
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,1,Under 200
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,2,200 -   400
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,3,400 -   800
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,4,800 -  1 600
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,5,1 600 -  2 400
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,6,2 400 -  3 200
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,7,3 200 -  4 800
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,8,4 800 -  6 400
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,9,6 400 -  8 000
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,10,8 000 -  9 600
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,11,9 600 - 12 000
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,12,More than 12 000
[dem] income_net_monthly,"What is your household’s monthly income after taxes, in Pounds Sterling?",multiple_sole,13,Prefer not to say
[dem] disposable_income,"What share of your household income is spent on basic needs (food, housing, clothes)?",multiple_sole,1,All of it
[dem] disposable_income,"What share of your household income is spent on basic needs (food, housing, clothes)?",multiple_sole,2,Most of it
[dem] disposable_income,"What share of your household income is spent on basic needs (food, housing, clothes)?",multiple_sole,3,About half
[dem] disposable_income,"What share of your household income is spent on basic needs (food, housing, clothes)?",multiple_sole,4,Less than half
[dem] disposable_income,"What share of your household income is spent on basic needs (food, housing, clothes)?",multiple_sole,5,Only a little
[dem] disposable_income,"What share of your household income is spent on basic needs (food, housing, clothes)?",multiple_sole,6,Don't know
[dem] household_finances_past12months,"Compared to 12 months ago, your household financial situation is...",multiple_sole,1,... a lot better
[dem] household_finances_past12months,"Compared to 12 months ago, your household financial situation is...",multiple_sole,2,... a little better
[dem] household_finances_past12months,"Compared to 12 months ago, your household financial situation is...",multiple_sole,3,... the same
[dem] household_finances_past12months,"Compared to 12 months ago, your household financial situation is...",multiple_sole,4,... a little worse
[dem] household_finances_past12months,"Compared to 12 months ago, your household financial situation is...",multiple_sole,5,... a lot worse
[dem] household_finances_past12months,"Compared to 12 months ago, your household financial situation is...",multiple_sole,6,Don't know
[dem] financial_security,How secure do you feel about your current financial situation?,multiple_sole,1,Very secure
[dem] financial_security,How secure do you feel about your current financial situation?,multiple_sole,2,Somewhat secure
[dem] financial_security,How secure do you feel about your current financial situation?,multiple_sole,3,Not very secure
[dem] financial_security,How secure do you feel about your current financial situation?,multiple_sole,4,Not at all secure
[dem] financial_security,How secure do you feel about your current financial situation?,multiple_sole,5,Prefer not to answer
[dem] change_household_finances_next12months,How do you expect the financial position of your household to change over the next 12 months? It will...,multiple_sole,1,... get a lot better
[dem] change_household_finances_next12months,How do you expect the financial position of your household to change over the next 12 months? It will...,multiple_sole,2,... get a little better
[dem] change_household_finances_next12months,How do you expect the financial position of your household to change over the next 12 months? It will...,multiple_sole,3,... stay the same
[dem] change_household_finances_next12months,How do you expect the financial position of your household to change over the next 12 months? It will...,multiple_sole,4,... get a little worse
[dem] change_household_finances_next12months,How do you expect the financial position of your household to change over the next 12 months? It will...,multiple_sole,5,... get a lot worse
[dem] change_household_finances_next12months,How do you expect the financial position of your household to change over the next 12 months? It will...,multiple_sole,6,Don't know
[dem] job_security,How secure do you feel about your work situation?,multiple_sole,1,Very secure
[dem] job_security,How secure do you feel about your work situation?,multiple_sole,2,Somewhat secure
[dem] job_security,How secure do you feel about your work situation?,multiple_sole,3,Not very secure
[dem] job_security,How secure do you feel about your work situation?,multiple_sole,4,Not at all secure
[dem] job_security,How secure do you feel about your work situation?,multiple_sole,5,Not applicable
[dem] status_national_economy,How well do you think the national economy in the United Kingdom is presently performing?,multiple_sole,1,Very well
[dem] status_national_economy,How well do you think the national economy in the United Kingdom is presently performing?,multiple_sole,2,Fairly well
[dem] status_national_economy,How well do you think the national economy in the United Kingdom is presently performing?,multiple_sole,3,Neither well nor poorly
[dem] status_national_economy,How well do you think the national economy in the United Kingdom is presently performing?,multiple_sole,4,Fairly poorly
[dem] status_national_economy,How well do you think the national economy in the United Kingdom is presently performing?,multiple_sole,5,Very poorly
[dem] status_national_economy,How well do you think the national economy in the United Kingdom is presently performing?,multiple_sole,6,I don't know
[dem] change_economy_country_past12months,How do you think the general economic situation in the United Kingdom has changed over the past 12 months? It has…,multiple_sole,1,… got a lot better
[dem] change_economy_country_past12months,How do you think the general economic situation in the United Kingdom has changed over the past 12 months? It has…,multiple_sole,2,… got a little better
[dem] change_economy_country_past12months,How do you think the general economic situation in the United Kingdom has changed over the past 12 months? It has…,multiple_sole,3,… stayed the same
[dem] change_economy_country_past12months,How do you think the general economic situation in the United Kingdom has changed over the past 12 months? It has…,multiple_sole,4,… got a little worse
[dem] change_economy_country_past12months,How do you think the general economic situation in the United Kingdom has changed over the past 12 months? It has…,multiple_sole,5,… got a lot worse
[dem] change_economy_country_past12months,How do you think the general economic situation in the United Kingdom has changed over the past 12 months? It has…,multiple_sole,6,I don’t know
[dem] economy_country_next12months,How do you expect the general economic situation in the United Kingdom to change over the next 12 months? It will ...,multiple_sole,1,… get a lot better
[dem] economy_country_next12months,How do you expect the general economic situation in the United Kingdom to change over the next 12 months? It will ...,multiple_sole,2,… get a little better
[dem] economy_country_next12months,How do you expect the general economic situation in the United Kingdom to change over the next 12 months? It will ...,multiple_sole,3,… stay the same
[dem] economy_country_next12months,How do you expect the general economic situation in the United Kingdom to change over the next 12 months? It will ...,multiple_sole,4,… get a little worse
[dem] economy_country_next12months,How do you expect the general economic situation in the United Kingdom to change over the next 12 months? It will ...,multiple_sole,5,… get a lot worse
[dem] economy_country_next12months,How do you expect the general economic situation in the United Kingdom to change over the next 12 months? It will ...,multiple_sole,6,Don't know
[dem] religion,What is your religion?,multiple_sole,1,Roman Catholic
[dem] religion,What is your religion?,multiple_sole,2,Orthodox Catholic
[dem] religion,What is your religion?,multiple_sole,3,Muslim
[dem] religion,What is your religion?,multiple_sole,4,Protestant
[dem] religion,What is your religion?,multiple_sole,5,Jewish
[dem] religion,What is your religion?,multiple_sole,6,Buddhist
[dem] religion,What is your religion?,multiple_sole,7,Other
[dem] religion,What is your religion?,multiple_sole,8,None / not religious
[dem] ethnic_background,Which of the following categories best describes your ethnic background?,multiple,1,White (Caucasian)
[dem] ethnic_background,Which of the following categories best describes your ethnic background?,multiple,2,North African / Middle Eastern
[dem] ethnic_background,Which of the following categories best describes your ethnic background?,multiple,3,Asian (includes Indian)
[dem] ethnic_background,Which of the following categories best describes your ethnic background?,multiple,4,Hispanic or Latino
[dem] ethnic_background,Which of the following categories best describes your ethnic background?,multiple,5,Black
[dem] ethnic_background,Which of the following categories best describes your ethnic background?,multiple,6,Other
[dem] ethnicity,What is your ethnicity / race?,multiple,1,White
[dem] ethnicity,What is your ethnicity / race?,multiple,2,Hispanic or Latino
[dem] ethnicity,What is your ethnicity / race?,multiple,3,Black or African American
[dem] ethnicity,What is your ethnicity / race?,multiple,4,Middle Eastern or North African
[dem] ethnicity,What is your ethnicity / race?,multiple,5,Native American or American Indian
[dem] ethnicity,What is your ethnicity / race?,multiple,6,Asian / Pacific Islander
[dem] ethnicity,What is your ethnicity / race?,multiple,7,Other
[question] political_view,"If you had to choose one of the below, which option best describes your political views on a left-right scale?",multiple_sole,1,Extreme left
[question] political_view,"If you had to choose one of the below, which option best describes your political views on a left-right scale?",multiple_sole,2,Left
[question] political_view,"If you had to choose one of the below, which option best describes your political views on a left-right scale?",multiple_sole,3,Center left
[question] political_view,"If you had to choose one of the below, which option best describes your political views on a left-right scale?",multiple_sole,4,Center right
[question] political_view,"If you had to choose one of the below, which option best describes your political views on a left-right scale?",multiple_sole,5,Right
[question] political_view,"If you had to choose one of the below, which option best describes your political views on a left-right scale?",multiple_sole,6,Extreme right
[question] likelihood_to_demonstrate,How likely are you to join a protest or demonstration within the next 12 months?,multiple_sole,1,Very likely
[question] likelihood_to_demonstrate,How likely are you to join a protest or demonstration within the next 12 months?,multiple_sole,2,Fairly likely
[question] likelihood_to_demonstrate,How likely are you to join a protest or demonstration within the next 12 months?,multiple_sole,3,Not very likely
[question] likelihood_to_demonstrate,How likely are you to join a protest or demonstration within the next 12 months?,multiple_sole,4,Not at all likely
[question] likelihood_to_demonstrate,How likely are you to join a protest or demonstration within the next 12 months?,multiple_sole,5,Don't know
[question] independence_or_respect,Which is more important for a child to have?,multiple_sole,1,Independence
[question] independence_or_respect,Which is more important for a child to have?,multiple_sole,2,Respect for elders
[question] independence_or_respect,Which is more important for a child to have?,multiple_sole,3,Don't have an opinion
[question] obedience_or_selfreliance,Which is more important for a child to have?,multiple_sole,1,Obedience
[question] obedience_or_selfreliance,Which is more important for a child to have?,multiple_sole,2,Self-reliance
[question] obedience_or_selfreliance,Which is more important for a child to have?,multiple_sole,3,Don't have an opinion
[question] consideration_or_good_behaviour,Which is more important for a child to have?,multiple_sole,1,Consideration for others
[question] consideration_or_good_behaviour,Which is more important for a child to have?,multiple_sole,2,Good behaviour
[question] consideration_or_good_behaviour,Which is more important for a child to have?,multiple_sole,3,Don't have an opinion
[question] curiosity_or_good_manners,Which is more important for a child to have?,multiple_sole,1,Curiosity
[question] curiosity_or_good_manners,Which is more important for a child to have?,multiple_sole,2,Good manners
[question] curiosity_or_good_manners,Which is more important for a child to have?,multiple_sole,3,Don't have an opinion
[question] democracy_own_country_satisfaction,How satisfied are you with the way democracy works in your country?,multiple_sole,1,Very satisfied
[question] democracy_own_country_satisfaction,How satisfied are you with the way democracy works in your country?,multiple_sole,2,Somewhat satisfied
[question] democracy_own_country_satisfaction,How satisfied are you with the way democracy works in your country?,multiple_sole,3,Somewhat not satisfied
[question] democracy_own_country_satisfaction,How satisfied are you with the way democracy works in your country?,multiple_sole,4,Not at all satisfied
[question] next_generation_opportunities,Will the next generation in the United Kingdom have better or worse opportunities than your generation?,multiple_sole,1,Much better
[question] next_generation_opportunities,Will the next generation in the United Kingdom have better or worse opportunities than your generation?,multiple_sole,2,Somewhat better
[question] next_generation_opportunities,Will the next generation in the United Kingdom have better or worse opportunities than your generation?,multiple_sole,3,The same
[question] next_generation_opportunities,Will the next generation in the United Kingdom have better or worse opportunities than your generation?,multiple_sole,4,Somewhat worse
[question] next_generation_opportunities,Will the next generation in the United Kingdom have better or worse opportunities than your generation?,multiple_sole,5,Much worse
[question] currentplace_change_past5years,How has the place where you currently live changed over the past 5 years? It is now…,multiple_sole,1,Much better
[question] currentplace_change_past5years,How has the place where you currently live changed over the past 5 years? It is now…,multiple_sole,2,Somewhat better
[question] currentplace_change_past5years,How has the place where you currently live changed over the past 5 years? It is now…,multiple_sole,3,The same
[question] currentplace_change_past5years,How has the place where you currently live changed over the past 5 years? It is now…,multiple_sole,4,Somewhat worse
[question] currentplace_change_past5years,How has the place where you currently live changed over the past 5 years? It is now…,multiple_sole,5,Much worse
[question] currentplace_change_past5years,How has the place where you currently live changed over the past 5 years? It is now…,multiple_sole,6,Don't know enough to say
[question] hometown_change_past5years,How has the place where you grew up changed over the past 5 years? It is now…,multiple_sole,1,Much better
[question] hometown_change_past5years,How has the place where you grew up changed over the past 5 years? It is now…,multiple_sole,2,Somewhat better
[question] hometown_change_past5years,How has the place where you grew up changed over the past 5 years? It is now…,multiple_sole,3,The same
[question] hometown_change_past5years,How has the place where you grew up changed over the past 5 years? It is now…,multiple_sole,4,Somewhat worse
[question] hometown_change_past5years,How has the place where you grew up changed over the past 5 years? It is now…,multiple_sole,5,Much worse
[question] hometown_change_past5years,How has the place where you grew up changed over the past 5 years? It is now…,multiple_sole,6,Don't know enough to say
[question] country_direction_past5years,"Over the past 5 years, has the United Kingdom gone more in the right or wrong direction? The direction has been...",multiple_sole,1,… very wrong
[question] country_direction_past5years,"Over the past 5 years, has the United Kingdom gone more in the right or wrong direction? The direction has been...",multiple_sole,2,… somewhat wrong
[question] country_direction_past5years,"Over the past 5 years, has the United Kingdom gone more in the right or wrong direction? The direction has been...",multiple_sole,3,… neither wrong nor right
[question] country_direction_past5years,"Over the past 5 years, has the United Kingdom gone more in the right or wrong direction? The direction has been...",multiple_sole,4,… somewhat right
[question] country_direction_past5years,"Over the past 5 years, has the United Kingdom gone more in the right or wrong direction? The direction has been...",multiple_sole,5,… very right
[question] financial_situation_change_past5years,How has your financial situation changed over the past 5 years? It ...,multiple_sole,1,… got much better
[question] financial_situation_change_past5years,How has your financial situation changed over the past 5 years? It ...,multiple_sole,2,… got somewhat better
[question] financial_situation_change_past5years,How has your financial situation changed over the past 5 years? It ...,multiple_sole,3,… stayed the same
[question] financial_situation_change_past5years,How has your financial situation changed over the past 5 years? It ...,multiple_sole,4,… got somewhat worse
[question] financial_situation_change_past5years,How has your financial situation changed over the past 5 years? It ...,multiple_sole,5,… got much worse
[question] international_trade_gain_or_loss,"Overall, do you think the United Kingdom gains or loses from trade with other nations? It ...",multiple_sole,1,… gains a lot
[question] international_trade_gain_or_loss,"Overall, do you think the United Kingdom gains or loses from trade with other nations? It ...",multiple_sole,2,… gains a little
[question] international_trade_gain_or_loss,"Overall, do you think the United Kingdom gains or loses from trade with other nations? It ...",multiple_sole,3,… neither gains nor loses
[question] international_trade_gain_or_loss,"Overall, do you think the United Kingdom gains or loses from trade with other nations? It ...",multiple_sole,4,… loses a little
[question] international_trade_gain_or_loss,"Overall, do you think the United Kingdom gains or loses from trade with other nations? It ...",multiple_sole,5,… loses a lot
[question] country_comes_first,"Overall, do you agree or disagree with the following statement: ""My country comes first.""",multiple_sole,1,Strongly agree
[question] country_comes_first,"Overall, do you agree or disagree with the following statement: ""My country comes first.""",multiple_sole,2,Somewhat agree
[question] country_comes_first,"Overall, do you agree or disagree with the following statement: ""My country comes first.""",multiple_sole,3,Neither agree nor disagree
[question] country_comes_first,"Overall, do you agree or disagree with the following statement: ""My country comes first.""",multiple_sole,4,Somewhat disagree
[question] country_comes_first,"Overall, do you agree or disagree with the following statement: ""My country comes first.""",multiple_sole,5,Strongly disagree
[question] improving_life_by_hardwork,"Do you agree or disagree with with the following statement: ""If I work hard, I can improve my life.""",multiple_sole,1,Strongly agree
[question] improving_life_by_hardwork,"Do you agree or disagree with with the following statement: ""If I work hard, I can improve my life.""",multiple_sole,2,Somewhat agree
[question] improving_life_by_hardwork,"Do you agree or disagree with with the following statement: ""If I work hard, I can improve my life.""",multiple_sole,3,Neither agree nor disagree
[question] improving_life_by_hardwork,"Do you agree or disagree with with the following statement: ""If I work hard, I can improve my life.""",multiple_sole,4,Somewhat disagree
[question] improving_life_by_hardwork,"Do you agree or disagree with with the following statement: ""If I work hard, I can improve my life.""",multiple_sole,5,Strongly disagree
[question] conspiracy,"Do you agree or disagree with the following statement: ""In the United Kingdom, the system is stacked against people like me.""",multiple_sole,1,Strongly agree
